Time (seconds),x0,x1,x2,x3,x4,x5
0.565,1178,1185,0,1204,1202,0
0.574,1188,1185,0,1195,1202,0
0.583,1181,1185,0,1203,1202,0
0.591,1185,1185,0,1202,1202,0
0.6,1181,1185,0,1199,1202,0
0.612,1184,1185,0,1203,1202,0
0.622,1182,1185,0,1202,1202,0
0.635,1192,1185,0,1200,1202,0
0.647,1187,1185,0,1205,1202,0
0.658,1183,1185,0,1196,1202,0
0.67,1185,1185,0,1204,1202,0
0.682,1186,1185,0,1202,1202,0
0.695,1185,1185,0,1203,1202,0
0.708,1189,1185,0,1208,1202,0
0.719,1186,1185,0,1208,1202,0
0.729,1184,1185,0,1201,1202,0
0.74,1192,1185,0,1199,1202,0
0.749,1186,1185,0,1203,1202,0
0.76,1186,1185,0,1201,1202,0
0.77,1185,1185,0,1201,1202,0
0.782,1193,1185,0,1202,1202,0
0.794,1186,1185,0,1202,1202,0
0.806,1188,1185,0,1209,1202,0
0.819,1184,1185,0,1201,1202,0
0.831,1189,1185,0,1199,1202,0
0.84,1187,1185,0,1205,1202,0
0.849,1187,1185,0,1202,1202,0
0.858,1186,1185,0,1202,1202,0
0.866,1188,1185,0,1204,1202,0
0.876,1188,1185,0,1208,1202,0
0.887,1187,1185,0,1206,1202,0
0.899,1186,1185,0,1199,1202,0
0.91,1194,1185,0,1211,1202,0
0.922,1188,1185,0,1206,1202,0
0.933,1195,1185,0,1205,1202,0
0.943,1194,1186,0,1205,1202,0
0.956,1187,1186,0,1202,1202,0
0.967,1189,1186,0,1206,1202,0
0.979,1195,1186,0,1205,1202,0
0.992,1192,1186,0,1206,1202,0
1.005,1198,1186,0,1210,1202,0
1.014,1199,1186,0,1204,1202,0
1.023,1198,1186,0,1207,1202,0
1.034,1201,1186,0,1212,1202,0
1.043,1199,1186,0,1204,1202,0
1.052,1197,1186,0,1206,1202,0
1.062,1204,1186,0,1207,1202,0
1.074,1210,1186,0,1204,1202,0
1.085,1348,1186,162,1204,1202,0
1.097,1411,1186,225,1206,1202,0
1.108,1437,1186,251,1206,1202,0
1.12,1445,1186,259,1205,1202,0
1.131,1455,1186,269,1200,1202,0
1.143,1456,1186,270,1202,1202,0
1.154,1455,1186,269,1205,1202,0
1.164,1454,1186,268,1204,1202,0
1.177,1450,1186,264,1205,1202,0
1.19,1444,1186,258,1199,1202,0
1.202,1410,1186,224,1208,1202,0
1.214,1290,1186,104,1205,1202,0
1.224,1212,1186,0,1209,1202,0
1.234,1197,1186,0,1200,1202,0
1.246,1188,1186,0,1204,1202,0
1.255,1188,1186,0,1207,1202,0
1.266,1190,1186,0,1203,1202,0
1.278,1188,1186,0,1201,1202,0
1.289,1187,1186,0,1200,1202,0
1.302,1189,1186,0,1209,1202,0
1.315,1183,1186,0,1207,1202,0
1.326,1191,1186,0,1200,1202,0
1.338,1187,1186,0,1201,1202,0
1.353,1191,1186,0,1201,1202,0
1.366,1189,1186,0,1204,1202,0
1.378,1194,1186,0,1200,1202,0
1.388,1189,1186,0,1201,1202,0
1.398,1189,1186,0,1205,1202,0
1.408,1190,1186,0,1205,1202,0
1.418,1194,1186,0,1204,1202,0
1.429,1195,1186,0,1203,1202,0
1.441,1192,1186,0,1204,1202,0
1.451,1193,1186,0,1205,1202,0
1.463,1188,1186,0,1214,1202,0
1.476,1193,1186,0,1206,1202,0
1.488,1190,1186,0,1205,1202,0
1.501,1191,1186,0,1199,1202,0
1.513,1189,1186,0,1200,1202,0
1.526,1191,1186,0,1209,1202,0
1.539,1190,1186,0,1203,1202,0
1.551,1191,1186,0,1204,1202,0
1.565,1188,1186,0,1206,1202,0
1.578,1189,1186,0,1203,1202,0
1.59,1192,1186,0,1206,1202,0
1.602,1196,1187,0,1203,1202,0
1.613,1186,1187,0,1201,1202,0
1.625,1190,1187,0,1206,1202,0
1.634,1187,1187,0,1201,1202,0
1.642,1185,1187,0,1198,1202,0
1.653,1189,1187,0,1201,1202,0
1.665,1183,1187,0,1201,1202,0
1.675,1188,1187,0,1202,1202,0
1.685,1183,1186,0,1207,1202,0
1.697,1186,1186,0,1201,1202,0
1.709,1184,1186,0,1201,1202,0
1.718,1188,1186,0,1204,1202,0
1.729,1194,1187,0,1213,1202,0
1.739,1191,1187,0,1210,1202,0
1.748,1191,1187,0,1208,1202,0
1.758,1184,1187,0,1198,1202,0
1.769,1186,1187,0,1204,1202,0
1.78,1185,1186,0,1206,1202,0
1.79,1187,1186,0,1204,1202,0
1.8,1187,1186,0,1199,1202,0
1.809,1187,1186,0,1206,1202,0
1.819,1183,1186,0,1198,1202,0
1.829,1185,1186,0,1205,1202,0
